wineId,producerName,wineName,bottlePrice,colorId,sweetnessId
1,Duplin,Sweet,8.99,1,1
2,Duplin,Black River Red,8.99,3,1
3,Duplin,Easy,8.99,3,3
4,Paulk Vineyards,Lott,14.99,3,1
5,Paulk Vineyards,Hugo,14.99,3,3
6,Paulk Vineyards,Rachel,14.99,1,1
7,Lakeridge,Southern White,12.99,1,2
8,Lakeridge,Southern Red,12.99,3,4
9,San Sebastian,Vintners Red,10.99,3,3
10,Cypress Bend,Campbell Red,14.00,3,1
11,Paulk Vineyards,Pearl,14.99,1,3
12,Paulk Vineyards,Juliette,14.99,1,2
13,Hinnant,Gimme Some Sugar,8.99,1,1
14,Duplin,Sippin Sweet,14.99,3,2
15,White Fox Vineyards,Texas White Muscadine,17.95,1,4
16,Florida Orange Groves Winery,Sinfully Noble Dry,21.98,3,4
17,Dennis Vineyards,Noble Dry,11.00,3,4
18,Paulk Vineyards,Jacob,14.99,3,2
19,White Fox Vineyards,Texas White (Off Dry),17.95,1,3